"Model","Scenario","Region","Variable","Unit","2020","2021","2022","2023","2024","2025","2030","2035","2040","2045","2050"
"REMIND-MAgPIE 2.1-4.2","NGFS2_Net-Zero 2050","Japan","Primary Energy|Coal","EJ/yr",4.4861,"","","","",2.1113,0.3345,0.105,0.0996,0.0942,0.0869
"REMIND-MAgPIE 2.1-4.2","NGFS2_Net-Zero 2050","Japan","Primary Energy|Non-Biomass Renewables","EJ/yr",0.8267,"","","","",1.1156,1.7495,2.5151,3.0014,3.3136,3.5164
"REMIND-MAgPIE 2.1-4.2","NGFS2_Net-Zero 2050","Japan","Primary Energy|Biomass","EJ/yr",0.7199,"","","","",0.9987,1.263,1.6454,2.2235,2.6731,2.8393
"REMIND-MAgPIE 2.1-4.2","NGFS2_Net-Zero 2050","Japan","Secondary Energy","EJ/yr",12.6458,"","","","",10.761,9.4698,8.7853,7.9012,7.7257,7.4719
"REMIND-MAgPIE 2.1-4.2","NGFS2_Net-Zero 2050","Japan","Primary Energy|Biomass|Electricity","EJ/yr",0.56,"","","","",0.6866,0.7113,0.7995,0.8828,0.887,0.8269
"REMIND-MAgPIE 2.1-4.2","NGFS2_Net-Zero 2050","Japan","Emissions|Kyoto Gases","Mt CO2-equiv/yr",1273.4072,"","","","",884.9537,514.5069,291.2329,119.9908,37.4014,-10.4109
"REMIND-MAgPIE 2.1-4.2","EN_NPi2020_600_COV","World","Emissions|CO2","Mt CO2/yr",37367.8167,"","","","",28048.8881,21440.7119,15864.3607,12017.9103,8478.7297,4471.116
"REMIND-MAgPIE 2.1-4.2","EN_NPi2020_600_COV","World","Emissions|CH4","Mt CH4/yr",355.6308,"","","","",281.7798,243.3724,227.996,218.267,209.0314,198.5776
"REMIND-MAgPIE 2.1-4.2","EN_NPi2020_600_COV","World","Secondary Energy|Electricity|Gas","EJ/yr",22.8937,"","","","",23.935,21.156,13.2265,11.1132,8.9623,7.8038
"REMIND-MAgPIE 2.1-4.2","EN_NPi2020_600_COV","World","Secondary Energy|Electricity|Non-Biomass Renewables","EJ/yr",29.2613,"","","","",50.7977,92.2403,134.3449,167.6223,200.7666,231.2247
"REMIND-MAgPIE 2.1-4.2","EN_NPi2020_600_COV","World","Primary Energy|Gas","EJ/yr",121.9746,"","","","",120.6071,114.7845,94.8071,83.3393,68.6114,56.8957
"REMIND-MAgPIE 2.1-4.2","EN_NPi2020_600_COV","World","Secondary Energy|Electricity|Biomass","EJ/yr",2.0852,"","","","",2.4993,2.8428,3.0777,3.5476,4.2867,5.2313
"REMIND-MAgPIE 2.1-4.2","EN_NPi2020_600_COV","World","Secondary Energy|Electricity","EJ/yr",95.0239,"","","","",102.4543,128.8602,161.5627,194.6546,227.6726,259.1184
"REMIND-MAgPIE 2.1-4.2","EN_NPi2020_600_COV","World","Secondary Energy|Electricity|Coal","EJ/yr",30.6301,"","","","",15.8982,3.0561,0.0571,0.0232,0.0159,0.0095
"REMIND-MAgPIE 2.1-4.2","EN_NPi2020_600_COV","World","Primary Energy|Oil","EJ/yr",175.7071,"","","","",173.1731,177.3286,171.8674,147.4419,121.2495,90.018
"REMIND-MAgPIE 2.1-4.2","EN_NPi2020_600_COV","World","Primary Energy","EJ/yr",527.9845,"","","","",493.6074,495.0711,498.3072,502.2293,512.0405,522.8253
"REMIND-MAgPIE 2.1-4.2","EN_NPi2020_600_COV","World","Primary Energy|Coal","EJ/yr",134.4408,"","","","",75.7742,27.3177,6.5558,2.5549,2.0716,1.622
"REMIND-MAgPIE 2.1-4.2","EN_NPi2020_600_COV","World","Primary Energy|Non-Biomass Renewables","EJ/yr",29.5491,"","","","",52.0518,98.3668,146.7065,184.7013,222.5963,258.0614
"REMIND-MAgPIE 2.1-4.2","EN_NPi2020_600_COV","World","Primary Energy|Biomass","EJ/yr",58.2905,"","","","",64.3553,69.6936,70.633,76.1561,89.4962,108.447
"REMIND-MAgPIE 2.1-4.2","EN_NPi2020_600_COV","World","Secondary Energy","EJ/yr",413.1835,"","","","",408.2133,436.8726,453.365,456.0101,459.002,460.6256
"REMIND-MAgPIE 2.1-4.2","EN_NPi2020_600_COV","World","Primary Energy|Biomass|Electricity","EJ/yr",6.0406,"","","","",6.9054,7.6108,8.0583,8.9306,10.2733,12.0228
"REMIND-MAgPIE 2.1-4.2","EN_NPi2020_600_COV","World","Emissions|Kyoto Gases","Mt CO2-equiv/yr",52141.3029,"","","","",39627.9112,31617.9981,25524.8115,21364.3691,17618.3692,13347.3524
"REMIND-MAgPIE 2.1-4.2","EN_NPi2020_600_COV","Japan","Emissions|CO2","Mt CO2/yr",1111.2951,"","","","",849.3292,616.9601,403.0275,249.5116,152.9022,63.7359
"REMIND-MAgPIE 2.1-4.2","EN_NPi2020_600_COV","Japan","Emissions|CH4","Mt CH4/yr",1.2487,"","","","",0.9735,0.8871,0.8295,0.7758,0.7271,0.6848
"REMIND-MAgPIE 2.1-4.2","EN_NPi2020_600_COV","Japan","Secondary Energy|Electricity|Gas","EJ/yr",1.1845,"","","","",0.9011,0.6103,0.3366,0.1299,0.1372,0.1405
"REMIND-MAgPIE 2.1-4.2","EN_NPi2020_600_COV","Japan","Secondary Energy|Electricity|Non-Biomass Renewables","EJ/yr",0.7508,"","","","",1.0789,1.6574,2.3043,2.8171,3.2508,3.6051
"REMIND-MAgPIE 2.1-4.2","EN_NPi2020_600_COV","Japan","Primary Energy|Gas","EJ/yr",3.9835,"","","","",3.4129,2.7475,2.0569,1.267,0.9673,0.755
"REMIND-MAgPIE 2.1-4.2","EN_NPi2020_600_COV","Japan","Secondary Energy|Electricity|Biomass","EJ/yr",0.2243,"","","","",0.2965,0.3158,0.3238,0.333,0.3363,0.3293
"REMIND-MAgPIE 2.1-4.2","EN_NPi2020_600_COV","Japan","Secondary Energy|Electricity","EJ/yr",3.6579,"","","","",3.37,3.519,3.7088,4.1019,4.5251,4.8274
"REMIND-MAgPIE 2.1-4.2","EN_NPi2020_600_COV","Japan","Secondary Energy|Electricity|Coal","EJ/yr",0.9315,"","","","",0.4399,0.2721,0.0288,0.0017,0.0011,0.0007
"REMIND-MAgPIE 2.1-4.2","EN_NPi2020_600_COV","Japan","Primary Energy|Oil","EJ/yr",7.522,"","","","",6.7711,5.7748,4.8918,3.8069,2.8997,2.0294
"REMIND-MAgPIE 2.1-4.2","EN_NPi2020_600_COV","Japan","Primary Energy","EJ/yr",17.1544,"","","","",14.8312,13.1612,11.7003,10.5906,10.2066,9.868
"REMIND-MAgPIE 2.1-4.2","EN_NPi2020_600_COV","Japan","Primary Energy|Coal","EJ/yr",3.9569,"","","","",2.0881,1.0535,0.2442,0.0852,0.0739,0.064
"REMIND-MAgPIE 2.1-4.2","EN_NPi2020_600_COV","Japan","Primary Energy|Non-Biomass Renewables","EJ/yr",0.7628,"","","","",1.1128,1.738,2.4355,2.9895,3.4649,3.8681
"REMIND-MAgPIE 2.1-4.2","EN_NPi2020_600_COV","Japan","Primary Energy|Biomass","EJ/yr",0.6766,"","","","",1.0103,1.2519,1.3949,1.676,2.0715,2.4886
"REMIND-MAgPIE 2.1-4.2","EN_NPi2020_600_COV","Japan","Secondary Energy","EJ/yr",12.6499,"","","","",11.6883,11.0225,10.2553,9.3087,8.7767,8.2971
"REMIND-MAgPIE 2.1-4.2","EN_NPi2020_600_COV","Japan","Primary Energy|Biomass|Electricity","EJ/yr",0.5809,"","","","",0.7509,0.7915,0.815,0.8385,0.8406,0.8129
"REMIND-MAgPIE 2.1-4.2","EN_NPi2020_600_COV","Japan","Emissions|Kyoto Gases","Mt CO2-equiv/yr",1260.3757,"","","","",940.7326,683.2404,460.3441,299.1039,200.494,109.6605
"REMIND 2.1","CEMICS_GDPgrowth_1p5","World","Emissions|CO2","Mt CO2/yr",39074.5141,"","","","",29993.1489,22365.2981,16048.2634,11014.4987,6662.2108,1960.5378
"REMIND 2.1","CEMICS_GDPgrowth_1p5","World","Emissions|CH4","Mt CH4/yr",363.8326,"","","","",301.3452,264.1338,235.6583,219.1057,209.0101,198.8655
"REMIND 2.1","CEMICS_GDPgrowth_1p5","World","Secondary Energy|Electricity|Gas","EJ/yr",25.9368,"","","","",31.1764,27.0705,12.2441,3.5831,3.4274,3.0878
"REMIND 2.1","CEMICS_GDPgrowth_1p5","World","Secondary Energy|Electricity|Non-Biomass Renewables","EJ/yr",27.5693,"","","","",46.5426,81.5685,123.8024,165.0437,204.278,242.2086
"REMIND 2.1","CEMICS_GDPgrowth_1p5","World","Primary Energy|Gas","EJ/yr",128.3546,"","","","",134.6403,123.437,88.7643,57.3712,47.4731,41.1931
"REMIND 2.1","CEMICS_GDPgrowth_1p5","World","Secondary Energy|Electricity|Biomass","EJ/yr",1.9874,"","","","",2.362,2.8404,3.5992,4.9319,6.6718,8.3803
"REMIND 2.1","CEMICS_GDPgrowth_1p5","World","Secondary Energy|Electricity","EJ/yr",96.9513,"","","","",104.0226,124.5502,153.9365,191.9176,236.7058,280.0413
"REMIND 2.1","CEMICS_GDPgrowth_1p5","World","Secondary Energy|Electricity|Coal","EJ/yr",31.104,"","","","",13.9584,1.9703,0.0662,0.0375,0.0522,0.0824
"REMIND 2.1","CEMICS_GDPgrowth_1p5","World","Primary Energy|Oil","EJ/yr",193.1992,"","","","",196.8585,198.32,190.2109,169.1216,143.7,116.1264
"REMIND 2.1","CEMICS_GDPgrowth_1p5","World","Primary Energy","EJ/yr",560.0525,"","","","",528.162,518.048,518.4139,528.4175,562.6745,601.0862
"REMIND 2.1","CEMICS_GDPgrowth_1p5","World","Primary Energy|Coal","EJ/yr",140.6863,"","","","",69.2762,18.4021,3.8842,3.1879,3.0386,2.5394
